Season,Attendance
2019-2020,14200
2018-2019,16224
2017-2018,16924
2016-2017,17067
2015-2016,16306
2014-2015,15689
2013-2014,14993
2012-2013,17015
2011-2012,21446
2010-2011,19793
2009-2010,19229
2008-2009,20076
2007-2008,18634
2006-2007,21417
2005-2006,18566
2004-2005,25035
2003-2004,20070
